Eff Date,Course ID,Offer Nbr,Primary Component,Enrol Component,Final Exam,Sect Size,Contact,S+Templates Reqd,Component
01/01/2017,5543,3,LEC,,N,50,1,1,LAB
01/01/2017,5543,3,LEC,,N,80,1,1,TUT
01/01/2017,5543,3,LEC,,Y,160,1,3,LEC
01/01/2017,5554,1,SEM,SEM,N,50,8,2,SEM
01/01/2017,5596,1,LEC,,Y,10,2,1,LEC
01/01/2017,5611,1,LEC,TUT,N,21,1,2,TUT
01/01/2017,5611,1,LEC,TUT,Y,21,2,2,LEC
01/01/2017,5633,1,LEC,TUT,N,25,1,1,TUT
01/01/2017,5633,1,LEC,TUT,Y,25,1,4,LEC
01/01/2017,5672,2,LEC,LEC,N,50,0,1,TUT
01/01/2017,5672,2,LEC,LEC,Y,50,0,1,LEC
01/01/2017,5675,1,LEC,,N,25,1,1,PRA
01/01/2017,5675,1,LEC,,N,25,1,1,TUT
01/01/2017,5675,1,LEC,,Y,25,1,2,LEC
01/01/2017,5689,1,LEC,,Y,20,2,1,LEC
01/01/2017,5700,1,THE,,N,40,1,1,THE
01/01/2017,5704,1,LEC,,N,20,1,1,TUT
01/01/2017,5704,1,LEC,,Y,220,1,2,LEC
01/01/2017,5711,1,LEC,,N,35,1,2,LEC
01/01/2017,5711,1,LEC,,N,35,3,1,PRA
01/01/2017,5740,1,LEC,,N,25,3,1,PRA
01/01/2017,5740,1,LEC,,N,25,8,1,FLD
01/01/2017,5740,1,LEC,,Y,25,1,2,LEC
01/01/2017,5760,1,LEC,LEC,Y,10,2,3,LEC
01/01/2017,5761,1,LEC,WRK,N,10,2,2,WRK
01/01/2017,5761,1,LEC,WRK,Y,10,2,2,LEC
01/01/2017,5770,1,UNS,UNS,Y,95,0,1,UNS
01/01/2017,5782,1,THE,,N,40,1,1,THE
01/01/2017,5787,1,LEC,,N,80,1,1,TUT
01/01/2017,5787,1,LEC,,N,80,4,1,PRA
01/01/2017,5787,1,LEC,,Y,80,2,1,LEC
01/01/2017,5819,1,LEC,,Y,10,1,3,LEC
01/01/2017,5875,1,TUT,,N,20,1,1,TUT
01/01/2017,5876,1,LEC,,Y,35,3,1,LEC
01/01/2017,5876,2,LEC,LEC,Y,35,3,1,LEC
01/01/2017,5876,3,LEC,,Y,35,3,1,LEC
01/01/2017,5904,1,CLN,,N,10,0,1,CLN
01/01/2017,5912,1,LEC,WRK,N,12,2,2,WRK
01/01/2017,5912,1,LEC,WRK,Y,12,2,1,LEC
01/01/2017,5939,1,LEC,LEC,Y,13,3,9,LEC
01/01/2017,5939,2,LEC,,Y,13,3,9,LEC
01/01/2017,5991,1,LEC,LEC,Y,30,2,1,LEC
01/01/2017,5994,1,LEC,LEC,Y,30,2,1,LEC
01/01/2017,6001,1,LEC,,N,30,1,1,TUT
01/01/2017,6001,1,LEC,,Y,289,1,2,LEC
01/01/2017,6005,1,LEC,,Y,35,3,2,LEC
01/01/2017,6005,2,LEC,,Y,35,3,2,LEC
01/01/2017,6031,1,LEC,LEC,N,20,1,1,WRK
01/01/2017,6031,1,LEC,LEC,Y,20,2,1,LEC
01/01/2017,6031,2,LEC,LEC,N,20,1,1,WRK
01/01/2017,6031,2,LEC,LEC,Y,20,2,1,LEC
01/01/2017,6055,1,LEC,,Y,30,6.5,6,LEC
01/01/2017,6055,2,LEC,,Y,30,6.5,6,LEC
01/01/2017,6080,1,LEC,,Y,10,0,1,LEC
01/01/2017,6100,1,LEC,,Y,20,0.5,1,LEC
01/01/2017,6100,2,LEC,,Y,20,0.5,1,LEC
01/01/2017,6101,1,LEC,,N,20,1,1,TUT
01/01/2017,6101,1,LEC,,Y,20,1,1,LEC
01/01/2017,6107,1,LEC,LEC,N,10,2,2,TUT
01/01/2017,6107,1,LEC,LEC,Y,10,2,2,LEC
01/01/2017,6126,1,LEC,LEC,Y,10,2,4,LEC
01/01/2017,6135,1,LEC,TUT,N,10,1,1,TUT
01/01/2017,6135,1,LEC,TUT,Y,40,2,2,LEC
01/01/2017,6142,1,LEC,LEC,N,8,1,1,TUT
01/01/2017,6142,1,LEC,LEC,N,170,1,3,LEC
01/01/2017,6160,1,LEC,TUT,N,18,2,1,TUT
01/01/2017,6160,1,LEC,TUT,Y,18,2,1,LEC
01/01/2017,6163,1,THE,THE,N,5,2,1,THE
01/01/2017,6187,1,SEM,SEM,N,30,2,3,PRA
01/01/2017,6187,1,SEM,SEM,Y,30,2,2,SEM
01/01/2017,6201,1,THE,THE,Y,2,2,1,THE
01/01/2017,6202,1,WRK,,N,5,2,1,WRK
01/01/2017,6215,1,LEC,,Y,30,2,2,LEC
01/01/2017,6235,1,TUT,,N,20,1,1,TUT
01/01/2017,6263,1,LEC,LEC,N,24,1,1,PJT
01/01/2017,6263,1,LEC,LEC,Y,120,1,3,LEC
01/01/2017,6263,2,LEC,LEC,N,24,1,1,PJT
01/01/2017,6263,2,LEC,LEC,Y,120,1,3,LEC
01/01/2017,6293,1,LEC,,N,25,1,1,TUT
01/01/2017,6293,1,LEC,,Y,25,2,1,LEC
01/01/2017,6293,2,LEC,,N,25,1,1,TUT
01/01/2017,6293,2,LEC,,Y,25,2,1,LEC
01/01/2017,6342,1,LEC,LEC,N,35,1,1,PRA
01/01/2017,6342,1,LEC,LEC,N,35,1,1,TUT
01/01/2017,6342,1,LEC,LEC,Y,70,2,3,LEC
01/01/2017,6362,1,LEC,TUT,N,25,1,1,TUT
01/01/2017,6362,1,LEC,TUT,Y,320,1,2,LEC
01/01/2017,6362,3,LEC,,N,25,1,1,TUT
01/01/2017,6362,3,LEC,,Y,320,1,2,LEC
01/01/2017,6362,4,LEC,,N,25,1,1,TUT
01/01/2017,6362,4,LEC,,Y,320,1,2,LEC
01/01/2017,6362,5,LEC,,N,25,1,1,TUT
01/01/2017,6362,5,LEC,,Y,320,1,2,LEC
01/01/2017,6378,1,LEC,,N,25,1,1,TUT
01/01/2017,6378,1,LEC,,Y,125,1,2,LEC
01/01/2017,6378,2,LEC,,N,25,1,1,TUT
01/01/2017,6378,2,LEC,,Y,125,1,2,LEC
01/01/2017,6378,3,LEC,,N,25,1,1,TUT
